PassengerId,Survived,Pclass,Surname,M/F,Age,Family,Ticket,Fare,Embarked
1,0,1,N,1,64,0,693,26,S
2,0,1,C,1,33,0,695,5,S
3,1,3,B,1,32,0,1601,56.4958,S
4,0,3,L,1,28,0,1601,56.4958,S
5,1,3,L,1,26,0,1601,56.4958,S
6,1,3,F,1,,0,1601,56.4958,S
7,1,3,L,1,,0,1601,56.4958,S
8,0,3,L,1,,0,1601,56.4958,S
9,1,3,C,1,32,0,1601,56.4958,S
10,1,2,C,0,28,1,2003,26,S
11,0,3,A,1,18,0,2223,8.3,S
12,1,3,L,1,22,0,2620,7.225,C
13,0,3,B,1,40,0,2623,7.225,C
14,0,3,L,1,,0,2624,7.225,C
15,1,3,T,1,0.42,1,2625,8.5167,C
16,1,3,M,0,,0,2626,7.2292,C
17,0,3,A,0,17,0,2627,14.4583,C
18,0,3,Y,1,,0,2627,14.4583,C
19,0,3,Y,1,45.5,0,2628,7.225,C
20,0,3,R,1,,0,2629,7.2292,C
21,0,3,E,1,,0,2631,7.225,C
22,0,3,T,1,,0,2641,7.2292,C
23,0,3,Y,1,,0,2647,7.225,C
24,0,3,B,1,20,0,2648,4.0125,C
25,1,3,M,0,,0,2649,7.225,C
26,1,3,T,0,29,2,2650,15.2458,C
27,1,3,N,0,14,1,2651,11.2417,C
28,1,3,N,1,12,1,2651,11.2417,C
29,1,3,N,0,1,2,2653,15.7417,C
30,1,3,N,1,20,2,2653,15.7417,C
31,0,3,Y,1,27,1,2659,14.4542,C
32,1,3,Y,0,15,1,2659,14.4542,C
33,1,3,M,1,,2,2661,15.2458,C
34,1,3,M,1,,2,2661,15.2458,C
35,0,3,S,1,,2,2662,21.6792,C
36,1,3,B,1,20,0,2663,7.2292,C
37,0,3,B,1,,0,2664,7.225,C
38,0,3,Z,0,14.5,1,2665,14.4542,C
39,0,3,Z,0,,1,2665,14.4542,C
40,1,3,B,0,5,3,2666,19.2583,C
41,1,3,B,0,0.75,3,2666,19.2583,C
42,1,3,B,0,0.75,3,2666,19.2583,C
43,1,3,B,0,24,3,2666,19.2583,C
44,1,3,N,0,15,0,2667,7.225,C
45,1,3,P,0,,2,2668,22.3583,C
46,1,3,P,0,,2,2668,22.3583,C
47,0,3,S,1,22,0,2669,7.2292,C
48,0,3,S,1,,0,2671,7.2292,C
49,0,3,S,1,25,0,2672,7.225,C
50,0,3,E,1,,0,2674,7.225,C
51,1,3,M,1,,0,2677,7.2292,C
52,0,3,B,0,,2,2678,15.2458,C
53,0,3,B,0,9,2,2678,15.2458,C
